Shanghai,6051.0,7788.0,8581.0,13086.0,16766.0,19660.0,20398.0,22609.0,23937.0,25173.0,22348.0,25141.0,25146.0,19872.0,19923.0,21582.0,19831.0,17332.0,16407.0,15861.0,15698.0,20634.0,19657.0,16983.0,15319.0,11956.0,9330.0,9545.0,8932.0,7084.0,6606.0,5395.0,4722.0,4390.0,4024.0,3961.0,3760.0,3625.0,2780.0,1259.0,1305.0,1869.0,1487.0,1203.0,869.0,746.0,759.0,637.0,770.0,784.0,570.0,503.0,422.0,343.0,290.0,219.0,131.0
PudongNew,2505.0,1930.0,3514.0,6866.0,7983.0,8306.0,8743.0,6938.0,10613.0,6520.0,7813.0,10857.0,13888.0,10404.0,9140.0,9789.0,7219.0,7756.0,4926.0,3709.0,4246.0,7257.0,7085.0,5307.0,3620.0,2539.0,2459.0,2016.0,1897.0,1588.0,1520.0,1124.0,834.0,839.0,649.0,551.0,647.0,658.0,568.0,247.0,240.0,263.0,172.0,137.0,95.0,86.0,72.0,62.0,69.0,66.0,65.0,49.0,53.0,43.0,37.0,35.0,28.0
Huangpu,255.0,632.0,810.0,962.0,642.0,1035.0,1366.0,2566.0,447.0,1725.0,2106.0,1730.0,1181.0,1745.0,1138.0,1377.0,1710.0,2961.0,2716.0,2845.0,1560.0,2408.0,1863.0,1438.0,2515.0,927.0,1317.0,1286.0,1149.0,1046.0,984.0,957.0,912.0,754.0,737.0,567.0,575.0,442.0,378.0,245.0,227.0,274.0,219.0,168.0,83.0,79.0,77.0,66.0,53.0,42.0,31.0,38.0,29.0,21.0,20.0,18.0,9.0
Jingan,178.0,298.0,309.0,49.0,290.0,518.0,359.0,623.0,577.0,574.0,532.0,981.0,171.0,196.0,341.0,991.0,715.0,807.0,1528.0,966.0,1914.0,710.0,431.0,1560.0,885.0,1249.0,1057.0,1015.0,1143.0,886.0,632.0,596.0,548.0,525.0,485.0,468.0,529.0,582.0,371.0,191.0,158.0,172.0,150.0,116.0,69.0,48.0,88.0,56.0,142.0,81.0,77.0,60.0,50.0,36.0,36.0,28.0,18.0
Xuhui,602.0,998.0,465.0,1221.0,897.0,1088.0,2033.0,1515.0,1106.0,3157.0,1723.0,1052.0,1349.0,1049.0,1412.0,1362.0,1386.0,504.0,1464.0,1256.0,1019.0,1152.0,1631.0,1168.0,1132.0,731.0,340.0,1053.0,388.0,352.0,371.0,379.0,337.0,317.0,314.0,311.0,289.0,284.0,107.0,60.0,65.0,88.0,82.0,87.0,59.0,52.0,47.0,40.0,37.0,41.0,42.0,39.0,26.0,21.0,20.0,16.0,10.0
Changning,37.0,93.0,90.0,32.0,78.0,319.0,823.0,594.0,731.0,382.0,368.0,1043.0,852.0,850.0,519.0,579.0,677.0,487.0,565.0,603.0,411.0,549.0,658.0,673.0,437.0,355.0,189.0,384.0,319.0,141.0,210.0,147.0,96.0,116.0,86.0,64.0,62.0,70.0,52.0,14.0,39.0,59.0,37.0,48.0,15.0,24.0,16.0,17.0,27.0,18.0,15.0,27.0,14.0,26.0,16.0,8.0,5.0
Putuo,232.0,349.0,300.0,250.0,476.0,1006.0,946.0,1073.0,629.0,994.0,1841.0,1120.0,430.0,219.0,360.0,1186.0,895.0,350.0,428.0,506.0,395.0,452.0,439.0,434.0,371.0,261.0,277.0,139.0,86.0,87.0,83.0,78.0,54.0,88.0,78.0,72.0,51.0,44.0,43.0,25.0,27.0,27.0,24.0,26.0,6.0,8.0,12.0,11.0,20.0,18.0,14.0,12.0,11.0,8.0,9.0,5.0,4.0
Hongkou,58.0,312.0,177.0,603.0,402.0,667.0,568.0,360.0,337.0,1232.0,1350.0,848.0,1367.0,756.0,1210.0,870.0,900.0,859.0,605.0,730.0,782.0,569.0,737.0,549.0,1132.0,1099.0,1023.0,905.0,993.0,544.0,600.0,348.0,347.0,310.0,252.0,262.0,248.0,263.0,238.0,88.0,84.0,79.0,74.0,64.0,57.0,47.0,53.0,67.0,120.0,135.0,129.0,113.0,82.0,51.0,36.0,25.0,9.0
Yangpu,123.0,255.0,344.0,210.0,612.0,618.0,572.0,689.0,1048.0,1816.0,1390.0,1099.0,1131.0,769.0,1136.0,776.0,861.0,417.0,702.0,1803.0,489.0,1268.0,1235.0,1160.0,1179.0,1059.0,466.0,733.0,740.0,320.0,432.0,354.0,394.0,369.0,364.0,395.0,696.0,558.0,355.0,135.0,131.0,515.0,397.0,303.0,321.0,240.0,221.0,190.0,203.0,291.0,138.0,116.0,108.0,90.0,70.0,49.0,33.0
Baoshan,35.0,450.0,435.0,264.0,547.0,651.0,405.0,2792.0,2225.0,1818.0,977.0,279.0,638.0,367.0,1249.0,1242.0,1365.0,827.0,916.0,726.0,842.0,1854.0,2751.0,2371.0,1570.0,1681.0,1063.0,966.0,1067.0,1021.0,889.0,603.0,586.0,440.0,481.0,481.0,312.0,307.0,137.0,131.0,118.0,155.0,145.0,98.0,78.0,71.0,64.0,43.0,38.0,34.0,31.0,28.0,25.0,18.0,19.0,15.0,6.0
Minhang,986.0,774.0,872.0,1370.0,2914.0,2388.0,2162.0,2792.0,4536.0,3087.0,2939.0,3965.0,2567.0,2104.0,1736.0,2170.0,2296.0,1060.0,1213.0,1395.0,2410.0,1097.0,769.0,1086.0,656.0,678.0,270.0,352.0,372.0,378.0,357.0,259.0,237.0,260.0,226.0,281.0,214.0,216.0,315.0,72.0,88.0,128.0,117.0,75.0,35.0,39.0,57.0,52.0,32.0,35.0,11.0,13.0,13.0,22.0,21.0,11.0,5.0
Jiading,191.0,591.0,401.0,233.0,470.0,1402.0,910.0,1389.0,348.0,1334.0,165.0,944.0,667.0,603.0,568.0,582.0,622.0,516.0,639.0,567.0,696.0,424.0,678.0,469.0,485.0,345.0,279.0,356.0,246.0,218.0,254.0,275.0,171.0,211.0,192.0,198.0,108.0,109.0,131.0,14.0,72.0,67.0,37.0,32.0,25.0,18.0,18.0,8.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,3.0,3.0
Jinshan,46.0,60.0,99.0,51.0,76.0,76.0,57.0,45.0,24.0,42.0,35.0,36.0,22.0,5.0,10.0,12.0,19.0,4.0,8.0,1.0,22.0,26.0,44.0,68.0,22.0,26.0,31.0,20.0,18.0,11.0,12.0,7.0,4.0,2.0,1.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,7.0,16.0,3.0,5.0,8.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Songjiang,474.0,559.0,257.0,553.0,782.0,779.0,644.0,663.0,490.0,1534.0,670.0,635.0,526.0,583.0,575.0,323.0,752.0,571.0,267.0,511.0,471.0,2448.0,741.0,382.0,533.0,258.0,179.0,150.0,110.0,76.0,84.0,39.0,56.0,37.0,45.0,22.0,26.0,27.0,19.0,13.0,10.0,15.0,8.0,6.0,13.0,9.0,12.0,13.0,9.0,6.0,12.0,5.0,7.0,1.0,0.0,2.0,0.0
Qingpu,87.0,228.0,229.0,313.0,378.0,466.0,489.0,318.0,548.0,876.0,324.0,463.0,220.0,176.0,405.0,259.0,352.0,180.0,317.0,160.0,325.0,315.0,398.0,243.0,335.0,284.0,204.0,132.0,110.0,107.0,91.0,84.0,41.0,66.0,56.0,166.0,31.0,48.0,54.0,16.0,34.0,19.0,15.0,26.0,9.0,19.0,14.0,3.0,17.0,12.0,5.0,2.0,3.0,4.0,2.0,4.0,1.0
Fengxian,159.0,149.0,115.0,62.0,142.0,278.0,61.0,85.0,111.0,27.0,64.0,32.0,81.0,15.0,83.0,28.0,19.0,12.0,58.0,26.0,20.0,2.0,15.0,7.0,9.0,11.0,3.0,3.0,25.0,2.0,12.0,10.0,6.0,1.0,11.0,19.0,11.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongming,83.0,110.0,164.0,47.0,77.0,63.0,260.0,167.0,167.0,55.0,51.0,57.0,56.0,31.0,41.0,36.0,43.0,21.0,55.0,57.0,96.0,103.0,182.0,68.0,438.0,453.0,173.0,35.0,269.0,307.0,75.0,135.0,99.0,55.0,47.0,99.0,51.0,13.0,6.0,8.0,4.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
